split,interval,coin,p,d,q,aic,cv_rmse,cv_std,test_rmse
2024-06-01 (80/20),1min,BNBUSDT,1,0,1,-18888035.97253089,0.0008997517335134613,0.00011610340905464447,0.0008263991104999274
2024-06-01 (80/20),1min,BTCUSDT,1,0,1,-19846263.702428594,0.0007729088569967062,0.00014252387925447669,0.000739061870850156
2024-06-01 (80/20),1min,ETHUSDT,1,0,1,-19072270.45090555,0.0009335983970796633,0.00021285636618014232,0.0010142683044063472
2024-06-01 (80/20),1min,SOLUSDT,1,0,1,-17386823.087295454,0.0015978041015811608,0.00011265468239968335,0.001303629663995514
2024-06-01 (80/20),1min,XRPUSDT,1,0,1,-18067853.060341682,0.0011520319066049296,0.00011719924005455108,0.0014845395857982122
2024-06-01 (80/20),10min,BNBUSDT,1,1,2,-1468132.4108807584,0.04197837670535276,0.025559715632857066,0.05308040411692411
2024-06-01 (80/20),10min,BTCUSDT,3,0,3,-1572225.4873544336,0.0024131822120621316,0.0004569143323673165,0.0023100839845406197
2024-06-01 (80/20),10min,ETHUSDT,3,0,0,-1491662.2131226112,0.002953604631429504,0.000705965938870276,0.0031113418257573563
2024-06-01 (80/20),10min,SOLUSDT,3,1,3,-1319425.0104702702,0.047131768530089685,0.008070595950210988,0.03937704783468283
2024-06-01 (80/20),10min,XRPUSDT,3,0,2,-1396763.8323495553,0.003592748244884678,0.0003904942758981838,0.00465144930244721
2024-06-01 (80/20),1h,BNBUSDT,1,1,1,-193887.10495498162,0.014233214778883395,0.0016958863870355067,0.01986686333695878
2024-06-01 (80/20),1h,BTCUSDT,0,0,0,-212314.29625369923,0.0057703974049831104,0.0010448236972125564,0.00563106518169494
2024-06-01 (80/20),1h,ETHUSDT,2,0,2,-198274.58661382727,0.007132274831965887,0.0017013676144788487,0.007633595949964338
2024-06-01 (80/20),1h,SOLUSDT,2,1,2,-169560.62925387642,0.015444803372291168,0.0012317916201752988,0.01260706498591304
2024-06-01 (80/20),1h,XRPUSDT,1,0,3,-183386.79839383397,0.008508137579893426,0.0009180715985638592,0.011226633416482074
2024-06-01 (80/20),1d,BNBUSDT,2,0,0,-4032.7495062772646,0.03258424903113607,0.0061146731179011525,0.02790524036832047
2024-06-01 (80/20),1d,BTCUSDT,1,0,0,-4921.833832940899,0.02912286815555334,0.00495650749829468,0.02627203572380876
2024-06-01 (80/20),1d,ETHUSDT,1,0,0,-4281.047695519707,0.03603129547301963,0.00810762440997189,0.03695383682637623
2024-06-01 (80/20),1d,SOLUSDT,0,1,2,-3241.538443559235,0.057875833754876344,0.006432059605272141,0.0466736617357882
2024-06-01 (80/20),1d,XRPUSDT,0,0,2,-3700.183350054325,0.04122275243641003,0.008299137860670514,0.051469889710846616
2024-10-01,1min,BNBUSDT,1,0,1,-20842095.702057865,0.000871945326712643,0.00014806669969201396,0.0008374626932266285
2024-10-01,1min,BTCUSDT,1,0,1,-21867027.069035232,0.0007511029582723767,0.00015404849160003114,0.0007501676823572011
2024-10-01,1min,ETHUSDT,1,0,1,-21016258.812883172,0.000910225300194605,0.0002483695021653972,0.0010770526099583818
2024-10-01,1min,SOLUSDT,1,0,1,-19197517.426255498,0.0015411725401723528,0.00020737869921510422,0.0013619083791711576
2024-10-01,1min,XRPUSDT,1,0,1,-19938696.80784098,0.001117631933850819,0.00013208738647618647,0.0016940520519902965
