interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
1d,BNBUSDT,buy_and_hold,-0.1421366410488244,-0.2812251529400672,0.419534713314704,-0.6703263020076073,-0.8876905261912856,-0.27135258150311214,-1.036382817448309,-0.05237906893695493
1d,BNBUSDT,long_only,-0.14019313547802392,-0.2777132496146344,0.41953262062177815,-0.661958655808559,-0.8748423446495425,-0.271352581503112,-1.0234406029096483,-0.051776360508385855
1d,BNBUSDT,mean_reversion,-0.05660859270987961,-0.11795593694658202,0.3999826225434548,-0.29490265401159294,-0.3422202611861417,-0.23737301268438263,-0.4969222727244875,-0.012257494871191876
1d,BNBUSDT,long_short,-0.14019313547802392,-0.2777132496146344,0.41953262062177815,-0.661958655808559,-0.8748423446495425,-0.271352581503112,-1.0234406029096483,-0.051776360508385855
1d,BNBUSDT,trend_following,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1d,BTCUSDT,buy_and_hold,0.0003829085360271822,0.0008249082703983834,0.43793169231531004,0.001883645976926582,0.00279119267269911,-0.28095276766937527,0.0029361101413641674,0.01903712164297633
1d,BTCUSDT,long_only,-0.024300614560282652,-0.051606922294051394,0.43637554228465986,-0.11826263686516778,-0.17461924984476537,-0.2809527676693752,-0.18368540278906362,0.008290907257262115
1d,BTCUSDT,mean_reversion,-0.05622137666901783,-0.11717598254297412,0.3880542095735978,-0.3019577668587324,-0.3717144344782623,-0.22361617174953727,-0.5240049573615715,-0.013628792058168804
1d,BTCUSDT,long_short,-0.024300614560282652,-0.051606922294051394,0.43637554228465986,-0.11826263686516778,-0.17461924984476537,-0.2809527676693752,-0.18368540278906362,0.008290907257262115
1d,BTCUSDT,trend_following,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1d,ETHUSDT,buy_and_hold,-0.4581372995396371,-0.7327988027302093,0.6775053902827204,-1.0816132435852874,-1.4915800572637332,-0.6004246848762286,-1.220467481081775,-0.15441861599050483
1d,ETHUSDT,long_only,-0.4730791045467173,-0.7484163314433223,0.6758110127504439,-1.1074343526859474,-1.5233688569798804,-0.6004246848762285,-1.2464782849452647,-0.16452348620243218
1d,ETHUSDT,mean_reversion,-0.2642338721853398,-0.4836097778331443,0.629868377570333,-0.767794979164743,-0.9523054130138735,-0.44490238555543743,-1.0870019886033713,-0.0783825496104823
1d,ETHUSDT,long_short,-0.4730791045467173,-0.7484163314433223,0.6758110127504439,-1.1074343526859474,-1.5233688569798804,-0.6004246848762285,-1.2464782849452647,-0.16452348620243218
1d,ETHUSDT,trend_following,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1d,SOLUSDT,buy_and_hold,-0.23193329215565195,-0.43354299796119766,0.9019050558736496,-0.4806969371529213,-0.7527784818025595,-0.5976638546398444,-0.7253960476202014,-0.017041793493486668
1d,SOLUSDT,long_only,-0.40604410044908823,-0.6743872856344879,0.8175351841848952,-0.8249030728957193,-1.1613987674285648,-0.6664157899537378,-1.0119617449059894,-0.09125783035842183
1d,SOLUSDT,mean_reversion,0.05225301459699616,0.11594672416091889,0.7148971753234322,0.16218657474546955,0.17394596493176426,-0.41025067144136074,0.28262409359028134,0.0635041760258091
1d,SOLUSDT,long_short,-0.40604410044908823,-0.6743872856344879,0.8175351841848952,-0.8249030728957193,-1.1613987674285648,-0.6664157899537378,-1.0119617449059894,-0.09125783035842183
1d,SOLUSDT,trend_following,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1d,XRPUSDT,buy_and_hold,-0.06073985168674301,-0.12625438932000865,0.917062376999981,-0.13767263000476496,-0.22494080692918056,-0.4543328372262557,-0.27788964163542185,0.02936637975870926
1d,XRPUSDT,long_only,-0.10718008550741265,-0.21665523038604861,0.9155581326484009,-0.2366373282702848,-0.3860032321327136,-0.46586014006716675,-0.46506496639702144,0.01709931326001024
1d,XRPUSDT,mean_reversion,-0.15073059183752557,-0.2966445109938797,0.8096854425445553,-0.3663700684325394,-0.5097814229298657,-0.388841639734649,-0.7628928609505763,-0.006641820646704988
1d,XRPUSDT,long_short,-0.10718008550741265,-0.21665523038604861,0.9155581326484009,-0.2366373282702848,-0.3860032321327136,-0.46586014006716675,-0.46506496639702144,0.01709931326001024
1d,XRPUSDT,trend_following,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1d,Portfolio,buy_and_hold,-0.17157582674242444,-0.33330219070719447,0.5980423934900523,-0.5573220131805565,-0.7508140573636639,-0.42616440300309844,-0.7820976795773606,-0.034705084422562704
1d,Portfolio,long_only,-0.2284374192488987,-0.42797527653039114,0.5698224677610221,-0.7510677460859261,-0.9640796333841288,-0.4491599588096018,-0.9528348823983421,-0.06305114947936852
1d,Portfolio,mean_reversion,-0.0801724013184899,-0.1647254540795161,0.5168618179445058,-0.31870308148241333,-0.3766400857150524,-0.3094589889256498,-0.5323014033342325,-0.010769031494892667
1d,Portfolio,long_short,-0.2284374192488987,-0.42797527653039114,0.5698224677610221,-0.7510677460859261,-0.9640796333841288,-0.4491599588096018,-0.9528348823983421,-0.06305114947936852
1d,Portfolio,trend_following,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
