interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
1h,BNBUSDT,buy_and_hold,-0.15047030785068805,-0.400931613614405,0.5851912134351882,-0.6851292439284197,-0.8284541131557864,-0.30140974150246497,-1.3301879747344734,-0.009681210189017353
1h,BNBUSDT,long_only,-0.14955883390979074,-0.3989097474558978,0.5851883509854168,-0.6816775261916292,-0.8240869979706794,-0.3014097415024648,-1.3234799428426427,-0.00958882075855938
1h,BNBUSDT,mean_reversion,0.25903535444736203,1.062162541020415,0.5845315063269781,1.817117690874745,2.2011008479985628,-0.20537409313409763,5.171842878580032,0.025503111766984554
1h,BNBUSDT,long_short,-0.14955883390979074,-0.3989097474558978,0.5851883509854168,-0.6816775261916292,-0.8240869979706794,-0.3014097415024648,-1.3234799428426427,-0.00958882075855938
1h,BNBUSDT,trend_following,-0.1562883251808993,-0.41372823466511943,0.3303372618977198,-1.2524419203826285,-1.0682113629044558,-0.22005813423567908,-1.8800860786269435,-0.03588727210193288
1h,BTCUSDT,buy_and_hold,-0.000585480279739925,-0.0018384475953708845,0.5574304701732773,-0.0032980751748274595,-0.004209757880961185,-0.30936115214180143,-0.005942722874681427,0.004552712976718165
1h,BTCUSDT,long_only,0.007885245386761719,0.024985600549588982,0.5572303889080933,0.04483890514038347,0.05721244234904028,-0.3093611521418011,0.0807651522390775,0.0053375489282069255
1h,BTCUSDT,mean_reversion,-0.006300164629028604,-0.01966210155799719,0.5568861933785009,-0.035307216791839874,-0.04536364197819442,-0.28480653602481804,-0.06903669358305681,0.0040811108940068674
1h,BTCUSDT,long_short,0.007885245386761719,0.024985600549588982,0.5572303889080933,0.04483890514038347,0.05721244234904028,-0.3093611521418011,0.0807651522390775,0.0053375489282069255
1h,BTCUSDT,trend_following,-0.14366280869032833,-0.3857184543714729,0.35642010477318614,-1.0822017310637717,-0.8616931647741264,-0.3352159389081338,-1.1506566651569017,-0.030188066816902892
1h,ETHUSDT,buy_and_hold,-0.46094021743977587,-0.8565193851744427,0.838442356969939,-1.0215602516430975,-1.2206220751094663,-0.6180349715301054,-1.3858752734556548,-0.033368475343146575
1h,ETHUSDT,long_only,-0.458177699952787,-0.854196357059863,0.8383970774821528,-1.018844626254135,-1.2168738901694192,-0.6180349715301058,-1.3821165409864729,-0.03304374676185784
1h,ETHUSDT,mean_reversion,1.1033559615723894,9.341987061445842,0.837835684978918,11.150142240218509,14.038521137229367,-0.29740622871899525,31.411538022200045,0.05443271593373522
1h,ETHUSDT,long_short,-0.458177699952787,-0.854196357059863,0.8383970774821528,-1.018844626254135,-1.2168738901694192,-0.6180349715301058,-1.3821165409864729,-0.03304374676185784
1h,ETHUSDT,trend_following,-0.3282446979852681,-0.7135222877459104,0.38061885533163886,-1.8746372591662803,-1.4308990350778128,-0.4369704553360332,-1.6328845097712774,-0.08648945024141425
1h,SOLUSDT,buy_and_hold,-0.23605484574633973,-0.5708817263611619,1.090720205859918,-0.5233988728677506,-0.7346424093936552,-0.6606225762498686,-0.8641571555151274,-0.003742373078872152
1h,SOLUSDT,long_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1h,SOLUSDT,mean_reversion,1.1593917540821357,10.232640295986933,1.0895803293036197,9.391359242440519,12.96813403188547,-0.4575803517869562,22.362499298814132,0.04440288668134701
1h,SOLUSDT,long_short,-0.11231907846888145,-0.3122648757017653,1.0905893597858833,-0.2863267213271479,-0.36189447799833463,-0.4111742415223965,-0.7594465901988083,0.0033478848024165453
1h,SOLUSDT,trend_following,0.10148030037123634,0.354853897896352,0.8235787667763347,0.4308681964753983,0.40508088045284196,-0.333975052773501,1.0625161818209545,0.016772451529186994
