interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
1min,BNBUSDT,buy_and_hold,-0.14214715976251346,-0.007999757655772544,0.07617205372437832,-0.10502221306411065,-0.13062305595328172,-0.322053691275167,-0.024839826005712332,-0.0011813369984619015
1min,BNBUSDT,long_only,-0.14247686832736373,-0.00801973425711755,0.07617200273467815,-0.10528453984663944,-0.1309492414238331,-0.32205369127517247,-0.02490185479745129,-0.0011859797515003656
1min,BNBUSDT,mean_reversion,-0.07799003841260865,-0.004244650781398351,0.07617101068834538,-0.05572527846276574,-0.06914321090434439,-0.36025614802731415,-0.01178231323640458,-0.00030877406957940945
1min,BNBUSDT,long_short,-0.14247686832736373,-0.00801973425711755,0.07617200273467815,-0.10528453984663944,-0.1309492414238331,-0.32205369127517247,-0.02490185479745129,-0.0011859797515003656
1min,BNBUSDT,trend_following,0.1119177898525372,0.005572881092656523,0.04741991463105661,0.11752195540661496,0.11323185522569744,-0.1414366586890808,0.039401956637757876,0.00318139694365116
1min,BTCUSDT,buy_and_hold,0.00785089946225348,0.0004097532594096176,0.07354980767394749,0.005571098992210672,0.007162180032501374,-0.3166698218368585,0.0012939447688220627,0.000720709394409158
1min,BTCUSDT,long_only,0.007408918122426611,0.00038676589881014856,0.07354973923568071,0.005258562475263261,0.006760378188819537,-0.31666982183683934,0.00122135382704521,0.0007153940921441615
1min,BTCUSDT,mean_reversion,0.6096168944872671,0.025248912823719216,0.07354666780408206,0.3433046469349061,0.43117005046698403,-0.18340540374612746,0.1376672241275352,0.0064632171866159105
1min,BTCUSDT,long_short,0.007408918122426611,0.00038676589881014856,0.07354973923568071,0.005258562475263261,0.006760378188819537,-0.31666982183683934,0.00122135382704521,0.0007153940921441615
1min,BTCUSDT,trend_following,0.05052183344689953,0.002585274577625807,0.048796067768270286,0.05298120721331741,0.05060755490168496,-0.17040690822753166,0.015171184105833797,0.001786314457764504
1min,ETHUSDT,buy_and_hold,-0.45678986455923754,-0.031463284154440774,0.11148152388095643,-0.2822286874014952,-0.3455698848367324,-0.6287673685814278,-0.050039626301577315,-0.004062726784933912
1min,ETHUSDT,long_only,-0.4569314077259876,-0.03147650636428412,0.11148150756032751,-0.2823473332314851,-0.34571510799622274,-0.6287673685814035,-0.05006065508027236,-0.0040648751048952825
1min,ETHUSDT,mean_reversion,0.07029731538584061,0.003565244615045371,0.1114800510867725,0.03198100987835302,0.03734270511437196,-0.5066640720631089,0.00703670303782916,0.0015765931990187054
1min,ETHUSDT,long_short,-0.4569314077259876,-0.03147650636428412,0.11148150756032751,-0.2823473332314851,-0.34571510799622274,-0.6287673685814035,-0.05006065508027236,-0.0040648751048952825
1min,ETHUSDT,trend_following,0.2466449760621079,0.011615696499432282,0.06903421054462792,0.16826000337793662,0.17092721796770807,-0.2049067741919215,0.05668771345037471,0.00456420727707163
1min,SOLUSDT,buy_and_hold,-0.22461781760677912,-0.01323848847055098,0.13968223064396254,-0.09477575214484295,-0.12683814401051324,-0.6762168927375557,-0.01957728150942382,-0.00042151064599343924
1min,SOLUSDT,long_only,-0.22465868957880442,-0.01324121334259798,0.13968223011480527,-0.09479526015381473,-0.12686425104787452,-0.6762168927375349,-0.01958131109235301,-0.00042183395061962115
1min,SOLUSDT,mean_reversion,-0.2819765928554291,-0.01720325229814168,0.13967632915430914,-0.12316512326964275,-0.15616394635687667,-0.5977705898932983,-0.02877902089698399,-0.0009076484053289757
1min,SOLUSDT,long_short,-0.22465868957880442,-0.01324121334259798,0.13968223011480527,-0.09479526015381473,-0.12686425104787452,-0.6762168927375349,-0.01958131109235301,-0.00042183395061962115
1min,SOLUSDT,trend_following,0.18081775104535502,0.008744906954173848,0.09606626925998894,0.09102994236725348,0.09063303970435131,-0.33636281443127813,0.025998435555249253,0.0031511631652003658
1min,XRPUSDT,buy_and_hold,0.04196843973323583,0.00215598628337621,0.14783260901673473,0.014583969651324703,0.019078908847565065,-0.5228036061517015,0.004123893289960608,0.001510801783638882
1min,XRPUSDT,long_only,0.042068403127627274,0.002161022626428588,0.14783260733554152,0.014618037693968487,0.019123426120711547,-0.5228036061516474,0.0041335266264436385,0.001511391601606571
1min,XRPUSDT,mean_reversion,0.687804925712793,0.027799613313223892,0.14782393896950524,0.18805894029761108,0.2296451632596393,-0.5030095493535456,0.055266571676325454,0.004525080104569756
1min,XRPUSDT,long_short,0.042068403127627274,0.002161022626428588,0.14783260733554152,0.014618037693968487,0.019123426120711547,-0.5228036061516474,0.0041335266264436385,0.001511391601606571
1min,XRPUSDT,trend_following,-0.09486904539332786,-0.005207976107451717,0.10023573454492675,-0.051957279817383344,-0.05115479970822697,-0.3889794076721889,-0.013388822145157672,-4.740429753913311e-05
1min,Portfolio,buy_and_hold,-0.14580880161808696,-0.008222021079767328,0.09596231201479492,-0.08567968931907043,-0.11082714981892423,-0.469260513567226,-0.017521229342876397,-0.0006420610002730864
1min,Portfolio,long_only,-0.14598654625514462,-0.008232833227888925,0.09596230014380494,-0.08579237070757535,-0.11097289008741922,-0.4692605135672188,-0.01754427016521095,-0.000643977427287723
1min,Portfolio,mean_reversion,0.2110334599782735,0.010080991147866092,0.08167135500510343,0.12343362182782637,0.1442074575008026,-0.2841950659328269,0.035472083636557086,0.003118859535799934
1min,Portfolio,long_short,-0.14598654625514462,-0.008232833227888925,0.09596230014380494,-0.08579237070757535,-0.11097289008741922,-0.4692605135672188,-0.01754427016521095,-0.000643977427287723
1min,Portfolio,trend_following,0.1180454945256666,0.005862429088602239,0.05752828315342085,0.10190516329103481,0.11480907687610886,-0.17947065602468015,0.032665112049270376,0.0026857415801364026
