interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
10min,BNBUSDT,buy_and_hold,-0.14380534117882593,-0.07810916638762899,0.23947205683214798,-0.32617236190683274,-0.41731621233162297,-0.3102975750654974,-0.25172341862852704,-0.0037000645674672983
10min,BNBUSDT,long_only,-0.0690510220779631,-0.036786722936480776,0.23260764846658874,-0.1581492404870975,-0.1894919221213334,-0.286226279084085,-0.12852321965054056,-0.0007985956379052972
10min,BNBUSDT,mean_reversion,0.22553835814283896,0.11241858673891558,0.2393757111708756,0.4696323874675274,0.5907466839831402,-0.2856973540667359,0.39348837200870884,0.009587307936365974
10min,BNBUSDT,long_short,0.007747374936296403,0.00405084591630156,0.23939272080031496,0.01692134122858522,0.021314753272305607,-0.2868769451623067,0.014120500042308063,0.002311857458170752
10min,BNBUSDT,trend_following,-0.09833025283727237,-0.05277630047972004,0.13951417004418276,-0.37828630929034884,-0.3356256447582543,-0.1606545604871542,-0.32850795097061675,-0.0078359525702138
10min,BTCUSDT,buy_and_hold,0.007892136387080084,0.004126395490645862,0.2290513737768046,0.018015152769468922,0.023685376350870768,-0.3146707582404051,0.01311337447978989,0.0022014713923725338
10min,BTCUSDT,long_only,0.25841453842016415,0.12795197411535164,0.1700733568279107,0.7523340310429709,0.6790929149778305,-0.17912480204363276,0.7143174627720398,0.018864222996107904
10min,BTCUSDT,mean_reversion,-0.16720812834243448,-0.09139595422129476,0.2289487358348542,-0.39919833533049376,-0.4975429855256835,-0.3752872705971041,-0.24353598265104603,-0.005160352263133161
10min,BTCUSDT,long_short,0.5014170906934408,0.23724756833466487,0.22896026112065127,1.0361953955391698,1.3162991790382916,-0.24731991242623783,0.9592740269363592,0.017521305593557135
10min,BTCUSDT,trend_following,0.13736143604935802,0.0697475000225094,0.09344622140945079,0.7463918708590545,0.4600992058110987,-0.11215739555311906,0.6218716088987298,0.026146235925918027
10min,ETHUSDT,buy_and_hold,-0.4576023260614076,-0.27418181131915054,0.3405522364685456,-0.8051094133527289,-1.0212090369838396,-0.6259032275330538,-0.43805783267776977,-0.013310478449635732
10min,ETHUSDT,long_only,-0.1550747776097462,-0.0844854377522316,0.2747624039198007,-0.30748543667892686,-0.2734857860527155,-0.41686771296790404,-0.20266726139746977,-0.00433493304983279
10min,ETHUSDT,mean_reversion,-0.5356103045693021,-0.33088112643768486,0.34050470986763987,-0.9717372971619221,-1.146242735015324,-0.636040851250475,-0.5202199289356381,-0.01778282380137941
