interval,entity,strategy,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion
1h,BNBUSDT,buy_and_hold,-0.15047030785068805,-0.400931613614405,0.5851912134351882,-0.6851292439284197,-0.8284541131557864,-0.30140974150246497,-1.3301879747344734,-0.009681210189017353
1h,BNBUSDT,long_only,-0.007677168979635551,-0.023924190692203084,0.4907357656319919,-0.04875167527557813,-0.04293262836435011,-0.27120335737257945,-0.0882149503014301,0.004365216022818363
1h,BNBUSDT,mean_reversion,0.25903535444736203,1.062162541020415,0.5845315063269781,1.817117690874745,2.2011008479985628,-0.20537409313409763,5.171842878580032,0.025503111766984554
1h,BNBUSDT,long_short,0.1184129970495138,0.4213791554733499,0.5844198232957073,0.7210213252128832,0.8605650462902907,-0.2962766447497043,1.4222489789208081,0.014829410331865966
1h,BNBUSDT,trend_following,-0.0510172229096687,-0.15170906450631294,0.2512264435162768,-0.6038737896493918,-0.3402688388955095,-0.15095261021539683,-1.0050112037800256,-0.018357582228864522
1h,BTCUSDT,buy_and_hold,-0.000585480279739925,-0.0018384475953708845,0.5574304701732773,-0.0032980751748274595,-0.004209757880961185,-0.30936115214180143,-0.005942722874681427,0.004552712976718165
1h,BTCUSDT,long_only,0.3606010441858638,1.631401766343787,0.43850329951748124,3.7203865242039074,3.6800586728845537,-0.11883364108686634,13.728450558468092,0.054021390183700446
1h,BTCUSDT,mean_reversion,-0.006300164629028604,-0.01966210155799719,0.5568861933785009,-0.035307216791839874,-0.04536364197819442,-0.28480653602481804,-0.06903669358305681,0.0040811108940068674
1h,BTCUSDT,long_short,0.8070432352152974,5.418074434655844,0.5561087326422421,9.742832860963935,13.417187376838022,-0.1341359344111494,40.39241578657458,0.060134232426798884
1h,BTCUSDT,trend_following,-0.011436161329659855,-0.03549464299057048,0.2425943586777926,-0.1463127303702619,-0.0806170191773335,-0.17127448603912337,-0.207238356461701,-0.001082167326836192
1h,ETHUSDT,buy_and_hold,-0.46094021743977587,-0.8565193851744427,0.838442356969939,-1.0215602516430975,-1.2206220751094663,-0.6180349715301054,-1.3858752734556548,-0.033368475343146575
1h,ETHUSDT,long_only,-0.2160027781995344,-0.5344864882225331,0.6753965288914455,-0.7913669457256561,-0.7564812410715198,-0.38903559705110874,-1.3738755329176626,-0.018275798267033738
1h,ETHUSDT,mean_reversion,1.1033559615723894,9.341987061445842,0.837835684978918,11.150142240218509,14.038521137229367,-0.29740622871899525,31.411538022200045,0.05443271593373522
1h,ETHUSDT,long_short,0.06954085719389402,0.23520561085376834,0.8379542696392324,0.2806902707889206,0.38455060874116204,-0.29466638248336813,0.7982098564197226,0.011223037235097488
1h,ETHUSDT,trend_following,-0.2928615225126797,-0.663381928081916,0.2790254661763081,-2.377495994085157,-1.2045760396416225,-0.3752867687028045,-1.7676667109126318,-0.16183085905873973
1h,SOLUSDT,buy_and_hold,-0.23605484574633973,-0.5708817263611619,1.090720205859918,-0.5233988728677506,-0.7346424093936552,-0.6606225762498686,-0.8641571555151274,-0.003742373078872152
1h,SOLUSDT,long_only,0.1592381184430498,0.5908633271130415,0.9704249275038093,0.6088707228831177,0.7083961806665287,-0.3958142137005989,1.4927794572834145,0.018558160072866703
1h,SOLUSDT,mean_reversion,1.1593917540821357,10.232640295986933,1.0895803293036197,9.391359242440519,12.96813403188547,-0.4575803517869562,22.362499298814132,0.04440288668134701
1h,SOLUSDT,long_short,0.7305680510819195,4.60270457347496,1.088060437987029,4.230192012118568,5.940549511714007,-0.2492635169551549,18.465215566636793,0.033348846257434284
1h,SOLUSDT,trend_following,0.13016650043710287,0.4688434054448434,0.6107592641154769,0.7676402684187508,0.49804344745919166,-0.23920160040599134,1.9600345676997408,0.030918210890646836
1h,XRPUSDT,buy_and_hold,0.02928077323984235,0.09491865855808124,1.1305756708806385,0.08395604204373716,0.11574875959197076,-0.5104425511773728,0.18595365597782643,0.010691675693269509
1h,XRPUSDT,long_only,0.11343994121594236,0.40161525136737275,0.8762967639882159,0.4583096364974977,0.39684496017920434,-0.3180469642947944,1.2627545502843402,0.02203212211216976
1h,XRPUSDT,mean_reversion,-0.13682577971305743,-0.3701763256462912,1.127071835569859,-0.32844075591608257,-0.3787100377935175,-0.5531978212435126,-0.6691572371239384,0.0028057353355001036
1h,XRPUSDT,long_short,0.15511786658096738,0.5731646346927568,1.1253881638964793,0.5093039478114507,0.6523683059994797,-0.3711968808817805,1.5440987363126562,0.016754700090603092
1h,XRPUSDT,trend_following,-0.1292512348398891,-0.35264702721710817,0.4891939922774482,-0.7208735854979655,-0.4014329568834253,-0.3340422850571853,-1.0556957696440674,-0.025853285422203887
1h,Portfolio,buy_and_hold,-0.15746969736398253,-0.41630367544021274,0.7449637405497425,-0.5588240779786187,-0.7032849209100296,-0.4639555632686374,-0.8972921296757175,-0.005949781094928386
1h,Portfolio,long_only,0.0983098888974634,0.34263862178589677,0.5668083565288445,0.6045052403324264,0.6933310416020302,-0.2090000348113912,1.6394189699303428,0.01613775131656675
1h,Portfolio,mean_reversion,0.46943821051870516,2.351164219290231,0.5875120365904556,4.001899659681674,4.877789417916244,-0.20636776858570477,11.393078654692097,0.04068289048361007
1h,Portfolio,long_short,0.4380837468840455,2.1315818901375363,0.5616731786248399,3.7950572882193656,4.84496096487029,-0.1413403863331619,15.08119473448344,0.04135188943213858
1h,Portfolio,trend_following,-0.06712825536314149,-0.19614187276690975,0.2508944559558578,-0.7817704541124608,-0.6051262051704258,-0.17289235278960569,-1.1344739637246803,-0.02023958841867557
