feature,importance,coin_id,rank
number_of_trades,0.2372991038670977,BNBUSDT,1
taker_buy_quote_asset_volume,0.14388857706047184,BNBUSDT,2
ret_ma_10,0.12711813765545832,BNBUSDT,3
quote_asset_volume,0.11601655903773077,BNBUSDT,4
oc_pct,0.11516987525410828,BNBUSDT,5
sma_7,0.11430755394263194,BNBUSDT,6
vol_10,0.10288041651791735,BNBUSDT,7
cos_week,0.07802116036443717,BNBUSDT,8
range_pct,0.07601700184456478,BNBUSDT,9
ret_ma_20,0.06827136349592414,BNBUSDT,10
log_ret,0.0672258534802683,BNBUSDT,11
volume,0.06532068731469487,BNBUSDT,12
mom_diff_5_50,0.05743639146731432,BNBUSDT,13
close,0.052497764781051386,BNBUSDT,14
vol_5,0.040618929362854106,BNBUSDT,15
sin_week,0.04003628590975736,BNBUSDT,16
sin_day,0.03939077498803419,BNBUSDT,17
trend_ratio,0.03889120896844793,BNBUSDT,18
vol_50,0.037710761255856554,BNBUSDT,19
taker_buy_base_asset_volume,0.033334140635569796,BNBUSDT,20
sma_10,0.030294703706523304,BNBUSDT,21
sma_30,0.0275019729832498,BNBUSDT,22
high,0.02545559293532405,BNBUSDT,23
ema_10,0.023844334748596787,BNBUSDT,24
ret_ma_50,0.021994936017208203,BNBUSDT,25
volume_ratio,0.019025526482588546,BNBUSDT,26
open,0.01538264407609178,BNBUSDT,27
low,0.014228639121137625,BNBUSDT,28
vol_20,0.011933639404490548,BNBUSDT,29
ret_ma_5,0.001348749461955542,BNBUSDT,30
cos_day,0.0,BNBUSDT,31
range_pct,0.18083694496553704,BTCUSDT,1
number_of_trades,0.12326902353988739,BTCUSDT,2
oc_pct,0.11696310044070564,BTCUSDT,3
sin_week,0.09476153776921488,BTCUSDT,4
ret_ma_50,0.09097749974733034,BTCUSDT,5
log_ret,0.0857039481924409,BTCUSDT,6
volume_ratio,0.07809755149529682,BTCUSDT,7
trend_ratio,0.0753447323523182,BTCUSDT,8
vol_50,0.06917414653661555,BTCUSDT,9
ret_ma_10,0.06660700404602832,BTCUSDT,10
volume,0.05931086619275734,BTCUSDT,11
quote_asset_volume,0.05894124421765465,BTCUSDT,12
taker_buy_base_asset_volume,0.05671332307757055,BTCUSDT,13
cos_week,0.04807795046876911,BTCUSDT,14
ret_ma_20,0.044394341382143904,BTCUSDT,15
vol_20,0.044357201492837305,BTCUSDT,16
taker_buy_quote_asset_volume,0.0379309440932242,BTCUSDT,17
sin_day,0.03464170050620746,BTCUSDT,18
close,0.0300807297880033,BTCUSDT,19
mom_diff_5_50,0.029647901192765946,BTCUSDT,20
sma_30,0.02899584215001562,BTCUSDT,21
vol_10,0.028564549836403552,BTCUSDT,22
ret_ma_5,0.027400785120641924,BTCUSDT,23
vol_5,0.022163437951531445,BTCUSDT,24
ema_10,0.01718490421028476,BTCUSDT,25
sma_10,0.014679964221198943,BTCUSDT,26
sma_7,0.01287005110576212,BTCUSDT,27
low,0.009783091660245035,BTCUSDT,28
open,0.009344555392833822,BTCUSDT,29
high,0.00027096238171368423,BTCUSDT,30
cos_day,0.0,BTCUSDT,31
range_pct,0.16395436499624508,ETHUSDT,1
ret_ma_5,0.10885019092421615,ETHUSDT,2
sma_30,0.09892727957799748,ETHUSDT,3
oc_pct,0.09754000222234396,ETHUSDT,4
vol_5,0.09159786617366918,ETHUSDT,5
mom_diff_5_50,0.08672262807903347,ETHUSDT,6
ret_ma_10,0.07300637975696989,ETHUSDT,7
sin_week,0.05991991111007786,ETHUSDT,8
vol_10,0.05970736947096284,ETHUSDT,9
sma_7,0.05649116233064944,ETHUSDT,10
high,0.050707731245966156,ETHUSDT,11
trend_ratio,0.043988910295219535,ETHUSDT,12
low,0.03886290756103163,ETHUSDT,13
number_of_trades,0.038685276213119665,ETHUSDT,14
log_ret,0.032689808724394954,ETHUSDT,15
taker_buy_base_asset_volume,0.02686391592259563,ETHUSDT,16
vol_20,0.02466091132664291,ETHUSDT,17
close,0.022418613299794384,ETHUSDT,18
ret_ma_20,0.0222938532645631,ETHUSDT,19
sin_day,0.01845061918881499,ETHUSDT,20
volume_ratio,0.016533158676042655,ETHUSDT,21
cos_week,0.015218698045213854,ETHUSDT,22
volume,0.012564125117716502,ETHUSDT,23
ret_ma_50,0.010685513005470017,ETHUSDT,24
vol_50,0.007996635256288622,ETHUSDT,25
sma_10,0.006366663411844433,ETHUSDT,26
quote_asset_volume,0.004944384448991824,ETHUSDT,27
ema_10,0.0021506669546686365,ETHUSDT,28
taker_buy_quote_asset_volume,0.0013168666697320598,ETHUSDT,29
open,0.00047009339611819563,ETHUSDT,30
cos_day,0.0,ETHUSDT,31
