feature,importance,coin_id,rank
sma_7,3.9448407289525895,BNBUSDT,1
close,3.200331735785684,BNBUSDT,2
low,3.129111837484294,BNBUSDT,3
open,2.498860144983666,BNBUSDT,4
ema_10,2.119837463279886,BNBUSDT,5
sma_10,1.8866127672980313,BNBUSDT,6
high,1.6540937859958609,BNBUSDT,7
sma_30,0.9850135676395563,BNBUSDT,8
oc_pct,0.6461556489962813,BNBUSDT,9
log_ret,0.6002839358093714,BNBUSDT,10
quote_asset_volume,0.5770812776890383,BNBUSDT,11
taker_buy_quote_asset_volume,0.49865718534711534,BNBUSDT,12
ret_ma_5,0.17763175778077198,BNBUSDT,13
mom_diff_5_50,0.13804346130206127,BNBUSDT,14
range_pct,0.09143722616027807,BNBUSDT,15
volume_ratio,0.08166621840215679,BNBUSDT,16
vol_20,0.05552275339298465,BNBUSDT,17
ret_ma_50,0.052606315797984665,BNBUSDT,18
number_of_trades,0.046418971654359764,BNBUSDT,19
vol_50,0.0354291397957149,BNBUSDT,20
vol_5,0.026385029165173893,BNBUSDT,21
ret_ma_10,0.02553251118182505,BNBUSDT,22
cos_day,0.022517970036061354,BNBUSDT,23
volume,0.022198054203640398,BNBUSDT,24
taker_buy_base_asset_volume,0.02181808054850659,BNBUSDT,25
vol_10,0.020534929514434717,BNBUSDT,26
trend_ratio,0.019984773735826578,BNBUSDT,27
sin_week,0.018271195791129565,BNBUSDT,28
cos_week,0.014886183875078594,BNBUSDT,29
sin_day,0.0032373772763647202,BNBUSDT,30
ret_ma_20,0.0013294625127341603,BNBUSDT,31
close,7.353670325940489,BTCUSDT,1
high,6.241016043446482,BTCUSDT,2
open,5.207156498555926,BTCUSDT,3
low,4.804280332394715,BTCUSDT,4
sma_30,2.226425526604131,BTCUSDT,5
sma_7,2.222993329914774,BTCUSDT,6
ema_10,1.5852460627514353,BTCUSDT,7
taker_buy_base_asset_volume,1.4261766479094675,BTCUSDT,8
quote_asset_volume,1.4032074638856735,BTCUSDT,9
taker_buy_quote_asset_volume,1.3994229336118038,BTCUSDT,10
volume,1.3803209936024785,BTCUSDT,11
sma_10,1.3619284829299778,BTCUSDT,12
log_ret,1.1925957528800015,BTCUSDT,13
oc_pct,1.1671317332005218,BTCUSDT,14
mom_diff_5_50,0.3007738465635263,BTCUSDT,15
ret_ma_5,0.2605009791727626,BTCUSDT,16
trend_ratio,0.1369256027812165,BTCUSDT,17
volume_ratio,0.13274717343938786,BTCUSDT,18
ret_ma_50,0.0982612565533593,BTCUSDT,19
ret_ma_20,0.07201135338312792,BTCUSDT,20
number_of_trades,0.053525534266293695,BTCUSDT,21
ret_ma_10,0.025042750772659633,BTCUSDT,22
vol_5,0.0203563218377651,BTCUSDT,23
vol_20,0.015798259459262304,BTCUSDT,24
cos_week,0.014568656384029523,BTCUSDT,25
sin_day,0.011920197048942299,BTCUSDT,26
vol_50,0.009809298469724125,BTCUSDT,27
cos_day,0.0061381887501512095,BTCUSDT,28
vol_10,0.004517055056764684,BTCUSDT,29
range_pct,0.002790512105730744,BTCUSDT,30
sin_week,0.0008232501539802335,BTCUSDT,31
close,5.296845343586148,ETHUSDT,1
low,4.222279074000692,ETHUSDT,2
sma_7,3.667031502519415,ETHUSDT,3
open,2.858929275467228,ETHUSDT,4
sma_10,2.3921688593677324,ETHUSDT,5
high,2.244685045985772,ETHUSDT,6
log_ret,0.7599994846212186,ETHUSDT,7
oc_pct,0.7338060709682415,ETHUSDT,8
sma_30,0.7040797852495057,ETHUSDT,9
taker_buy_quote_asset_volume,0.40122085766582455,ETHUSDT,10
quote_asset_volume,0.380617853311181,ETHUSDT,11
ema_10,0.31618704958308724,ETHUSDT,12
volume,0.22823917793705248,ETHUSDT,13
taker_buy_base_asset_volume,0.15076977466468813,ETHUSDT,14
volume_ratio,0.11037893651346271,ETHUSDT,15
range_pct,0.06950511008400503,ETHUSDT,16
vol_10,0.05693894523423732,ETHUSDT,17
vol_20,0.056503625159476316,ETHUSDT,18
vol_5,0.04737884880935286,ETHUSDT,19
mom_diff_5_50,0.03833695046166685,ETHUSDT,20
trend_ratio,0.037772550412674216,ETHUSDT,21
ret_ma_5,0.030302705748680863,ETHUSDT,22
ret_ma_20,0.022586202669804153,ETHUSDT,23
number_of_trades,0.017940099873920035,ETHUSDT,24
ret_ma_10,0.015474060228492226,ETHUSDT,25
vol_50,0.015446932474698147,ETHUSDT,26
ret_ma_50,0.01148049954333753,ETHUSDT,27
cos_day,0.010649376470739885,ETHUSDT,28
cos_week,0.0033602061050118253,ETHUSDT,29
sin_week,0.0023878462079579763,ETHUSDT,30
sin_day,0.0021289782826927665,ETHUSDT,31
close,0.31779462991629953,SOLUSDT,1
taker_buy_base_asset_volume,0.18753266156261744,SOLUSDT,2
volume,0.18125127261341664,SOLUSDT,3
taker_buy_quote_asset_volume,0.17450054342758992,SOLUSDT,4
log_ret,0.16790705932937108,SOLUSDT,5
sma_30,0.13983271470953518,SOLUSDT,6
quote_asset_volume,0.13888471398285018,SOLUSDT,7
vol_20,0.12528509001074337,SOLUSDT,8
oc_pct,0.12146901231008184,SOLUSDT,9
low,0.109484347127246,SOLUSDT,10
vol_10,0.07239261849986425,SOLUSDT,11
vol_50,0.07203350383231194,SOLUSDT,12
number_of_trades,0.0581298783059131,SOLUSDT,13
sma_7,0.05570891833139336,SOLUSDT,14
volume_ratio,0.05007699228356057,SOLUSDT,15
sma_10,0.043586705685200594,SOLUSDT,16
trend_ratio,0.041984751008745026,SOLUSDT,17
mom_diff_5_50,0.04137478724329184,SOLUSDT,18
ret_ma_20,0.03268404110517309,SOLUSDT,19
ret_ma_5,0.030732362210561772,SOLUSDT,20
vol_5,0.029994421257658454,SOLUSDT,21
open,0.02624564090641438,SOLUSDT,22
sin_day,0.022128458161797614,SOLUSDT,23
sin_week,0.014505197688779666,SOLUSDT,24
ema_10,0.013651224697664173,SOLUSDT,25
cos_day,0.012397588794459995,SOLUSDT,26
range_pct,0.009601585817006661,SOLUSDT,27
high,0.009375281021243742,SOLUSDT,28
ret_ma_50,0.008481412761540784,SOLUSDT,29
ret_ma_10,0.006880191855716443,SOLUSDT,30
cos_week,0.005487324142992968,SOLUSDT,31
ema_10,2.2416207581351566,XRPUSDT,1
open,2.146042975696568,XRPUSDT,2
low,1.4402102332067892,XRPUSDT,3
volume,1.0229549368643358,XRPUSDT,4
sma_10,0.9856278436176272,XRPUSDT,5
taker_buy_base_asset_volume,0.9801014214183895,XRPUSDT,6
sma_30,0.911496587345267,XRPUSDT,7
log_ret,0.7978937228582829,XRPUSDT,8
close,0.794518647681129,XRPUSDT,9
sma_7,0.758274359117563,XRPUSDT,10
oc_pct,0.6748950656548287,XRPUSDT,11
high,0.3651773306274213,XRPUSDT,12
taker_buy_quote_asset_volume,0.25055794316182783,XRPUSDT,13
quote_asset_volume,0.22098685280205896,XRPUSDT,14
ret_ma_5,0.06865264193478562,XRPUSDT,15
number_of_trades,0.06452938905845376,XRPUSDT,16
range_pct,0.05528822547138887,XRPUSDT,17
sin_day,0.04682412973581208,XRPUSDT,18
vol_5,0.03832271252102393,XRPUSDT,19
vol_20,0.03625950959080688,XRPUSDT,20
vol_50,0.03037371030192105,XRPUSDT,21
vol_10,0.026278021250463964,XRPUSDT,22
ret_ma_20,0.025350094373843293,XRPUSDT,23
volume_ratio,0.020468075129616996,XRPUSDT,24
trend_ratio,0.019118995393710005,XRPUSDT,25
ret_ma_10,0.017791318446231417,XRPUSDT,26
mom_diff_5_50,0.014535927839475398,XRPUSDT,27
cos_week,0.014234016617216643,XRPUSDT,28
ret_ma_50,0.006834047801029944,XRPUSDT,29
cos_day,0.0039020642190185696,XRPUSDT,30
