feature,importance,coin_id,rank
open,38.17790735224132,BNBUSDT,1
low,34.05690466272062,BNBUSDT,2
high,26.361899755793246,BNBUSDT,3
close,19.686900133214017,BNBUSDT,4
sma_10,5.269860896665896,BNBUSDT,5
ema_10,4.10959837367105,BNBUSDT,6
sma_7,3.6366720265924806,BNBUSDT,7
ret_ma_5,0.5780641223015409,BNBUSDT,8
mom_diff_5_50,0.5582284080233104,BNBUSDT,9
ret_ma_50,0.172537606575945,BNBUSDT,10
taker_buy_base_asset_volume,0.10775714967672086,BNBUSDT,11
vol_50,0.0936631539899528,BNBUSDT,12
number_of_trades,0.07787160798457407,BNBUSDT,13
quote_asset_volume,0.06912463667033755,BNBUSDT,14
oc_pct,0.0570119189982729,BNBUSDT,15
range_pct,0.052806757379297097,BNBUSDT,16
taker_buy_quote_asset_volume,0.04747353596871059,BNBUSDT,17
log_ret,0.0410614391446827,BNBUSDT,18
sma_30,0.04078493919243452,BNBUSDT,19
volume,0.03951499338324105,BNBUSDT,20
trend_ratio,0.032404725121987964,BNBUSDT,21
vol_20,0.02289344535501824,BNBUSDT,22
volume_ratio,0.02226037316333465,BNBUSDT,23
ret_ma_20,0.017452422208062906,BNBUSDT,24
cos_week,0.012602747519315123,BNBUSDT,25
sin_day,0.009388753193081904,BNBUSDT,26
vol_10,0.008435089091494237,BNBUSDT,27
vol_5,0.006417899305127083,BNBUSDT,28
sin_week,0.004110451005197,BNBUSDT,29
ret_ma_10,0.0026927761801793034,BNBUSDT,30
cos_day,0.001318613230261372,BNBUSDT,31
sma_10,0.2368200121712693,BTCUSDT,1
sma_30,0.2199824279029158,BTCUSDT,2
sma_7,0.16007285618032804,BTCUSDT,3
close,0.15281980746349613,BTCUSDT,4
low,0.09584821791972098,BTCUSDT,5
ema_10,0.08212386969791309,BTCUSDT,6
taker_buy_base_asset_volume,0.06693687428660539,BTCUSDT,7
ret_ma_5,0.05675907734724718,BTCUSDT,8
volume_ratio,0.05527371686549507,BTCUSDT,9
volume,0.05231965395071608,BTCUSDT,10
open,0.04780774711877163,BTCUSDT,11
mom_diff_5_50,0.03639138139104364,BTCUSDT,12
high,0.034814098001840134,BTCUSDT,13
trend_ratio,0.028603730517664475,BTCUSDT,14
number_of_trades,0.026860989721388524,BTCUSDT,15
vol_50,0.02493337069659057,BTCUSDT,16
log_ret,0.0203605322593768,BTCUSDT,17
taker_buy_quote_asset_volume,0.020007373204951117,BTCUSDT,18
quote_asset_volume,0.019150525812047008,BTCUSDT,19
ret_ma_10,0.018682753172561073,BTCUSDT,20
cos_week,0.014919460561960609,BTCUSDT,21
sin_day,0.0054896329348317644,BTCUSDT,22
sin_week,0.0054676957843405915,BTCUSDT,23
oc_pct,0.005363740328904571,BTCUSDT,24
ret_ma_20,0.005019390496701844,BTCUSDT,25
ret_ma_50,0.0035068469307299455,BTCUSDT,26
range_pct,0.0018967836323364499,BTCUSDT,27
vol_10,0.0012748971269732907,BTCUSDT,28
cos_day,0.00028641825403398117,BTCUSDT,29
vol_20,0.0001874808594831955,BTCUSDT,30
vol_5,0.00011171388729472682,BTCUSDT,31
sma_10,0.3042185188609583,ETHUSDT,1
open,0.2401884803703662,ETHUSDT,2
high,0.1910239118254349,ETHUSDT,3
close,0.12296500871880872,ETHUSDT,4
sma_7,0.1178509170786973,ETHUSDT,5
low,0.0937587729956545,ETHUSDT,6
oc_pct,0.06822758814459634,ETHUSDT,7
log_ret,0.059027923376275486,ETHUSDT,8
ema_10,0.051320815685699066,ETHUSDT,9
volume,0.04540394680553603,ETHUSDT,10
taker_buy_base_asset_volume,0.042408371210794465,ETHUSDT,11
trend_ratio,0.025097313937630837,ETHUSDT,12
ret_ma_10,0.017336647088773742,ETHUSDT,13
volume_ratio,0.017053109690952743,ETHUSDT,14
vol_50,0.014880141026429412,ETHUSDT,15
ret_ma_5,0.009733095028179267,ETHUSDT,16
number_of_trades,0.009622745711798789,ETHUSDT,17
sin_day,0.007187105744297029,ETHUSDT,18
cos_week,0.006991394967565591,ETHUSDT,19
ret_ma_20,0.005460598085815665,ETHUSDT,20
quote_asset_volume,0.0054241299962767345,ETHUSDT,21
ret_ma_50,0.004902738561342949,ETHUSDT,22
vol_10,0.00299926730430168,ETHUSDT,23
vol_20,0.002734675992756744,ETHUSDT,24
cos_day,0.0021057859860821077,ETHUSDT,25
sin_week,0.0016830029524313194,ETHUSDT,26
sma_30,0.0016110944280121088,ETHUSDT,27
range_pct,0.0014176935698911512,ETHUSDT,28
vol_5,0.0014081282847543365,ETHUSDT,29
mom_diff_5_50,0.0012008446486971528,ETHUSDT,30
taker_buy_quote_asset_volume,0.00025898230213138463,ETHUSDT,31
low,25.18036149183293,SOLUSDT,1
open,16.853208895461822,SOLUSDT,2
high,14.838952985860065,SOLUSDT,3
close,6.1828507994624475,SOLUSDT,4
sma_30,2.2535877128999235,SOLUSDT,5
sma_7,2.167732037711413,SOLUSDT,6
sma_10,1.7028538963324578,SOLUSDT,7
ema_10,1.3461007117451214,SOLUSDT,8
ret_ma_5,0.13135689345197826,SOLUSDT,9
mom_diff_5_50,0.12352582020349497,SOLUSDT,10
range_pct,0.0829967195892305,SOLUSDT,11
oc_pct,0.067949471602589,SOLUSDT,12
volume,0.06374896958245169,SOLUSDT,13
vol_50,0.057943923139452055,SOLUSDT,14
quote_asset_volume,0.04809833089562245,SOLUSDT,15
ret_ma_50,0.04699011847665298,SOLUSDT,16
taker_buy_base_asset_volume,0.0444830687083599,SOLUSDT,17
taker_buy_quote_asset_volume,0.029412869364115322,SOLUSDT,18
volume_ratio,0.015497768484864907,SOLUSDT,19
ret_ma_10,0.01159473074341823,SOLUSDT,20
log_ret,0.011009764600411647,SOLUSDT,21
vol_20,0.007100117039279006,SOLUSDT,22
vol_10,0.005462991240825591,SOLUSDT,23
ret_ma_20,0.005459991939232452,SOLUSDT,24
cos_week,0.005000169226431924,SOLUSDT,25
trend_ratio,0.004969961504725015,SOLUSDT,26
sin_day,0.0044953268365814855,SOLUSDT,27
vol_5,0.004406097886351505,SOLUSDT,28
number_of_trades,0.0017255758091598529,SOLUSDT,29
cos_day,0.0016323648171154275,SOLUSDT,30
sin_week,0.0008390463260573288,SOLUSDT,31
low,24.35648960212484,XRPUSDT,1
high,20.472248941136513,XRPUSDT,2
open,10.81779584168759,XRPUSDT,3
close,4.096347205895764,XRPUSDT,4
sma_10,1.906406149145422,XRPUSDT,5
sma_7,1.7640792542443702,XRPUSDT,6
sma_30,1.217039689489776,XRPUSDT,7
ema_10,0.40274062107600184,XRPUSDT,8
mom_diff_5_50,0.22248776117726643,XRPUSDT,9
ret_ma_5,0.22100761544996758,XRPUSDT,10
range_pct,0.14152002152710313,XRPUSDT,11
volume,0.08486621567432524,XRPUSDT,12
oc_pct,0.08387758175472276,XRPUSDT,13
ret_ma_50,0.0835290193737608,XRPUSDT,14
quote_asset_volume,0.05959410410730724,XRPUSDT,15
trend_ratio,0.04482296535183757,XRPUSDT,16
vol_50,0.04192907392834013,XRPUSDT,17
taker_buy_base_asset_volume,0.03823439952997372,XRPUSDT,18
taker_buy_quote_asset_volume,0.03561626345908664,XRPUSDT,19
log_ret,0.03123749766607952,XRPUSDT,20
sin_day,0.021982927002118118,XRPUSDT,21
number_of_trades,0.020353935221620188,XRPUSDT,22
cos_week,0.01788158836116222,XRPUSDT,23
ret_ma_20,0.013283290797197972,XRPUSDT,24
vol_20,0.012632386326232608,XRPUSDT,25
sin_week,0.010951469671971385,XRPUSDT,26
vol_5,0.006462067290851256,XRPUSDT,27
volume_ratio,0.005696675337695114,XRPUSDT,28
vol_10,0.0022657878766382624,XRPUSDT,29
ret_ma_10,0.0019832845528196274,XRPUSDT,30
cos_day,0.00019334360508722353,XRPUSDT,31
