strategy,coin_id,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,Kelly Criterion,frequency,model
buy_and_hold,BTCUSDT,0.0031702003255031,0.2290475991699717,0.0138407926430638,0.0181968435654163,-0.3146680603666599,0.0100747445476645,0.0021324414898048,10min,XGBoost
long_short,BTCUSDT,0.2042531698977874,0.2290366037466203,0.8917926940784957,1.1350840184529871,-0.1582639178579029,1.2905858306956353,0.0154940843491635,10min,XGBoost
long_only,BTCUSDT,0.1228836358375939,0.0984291936211056,1.2484470441830853,0.5894341912787611,-0.0718171617041989,1.7110622714905943,0.0544492080774408,10min,XGBoost
trend_following,BTCUSDT,0.0342428037373534,0.0280167671505184,1.2222253750186811,0.264882790897933,-0.0200310922999174,1.709482599583175,0.1249774043289146,10min,XGBoost
buy_and_hold,BNBUSDT,-0.0791726675698163,0.2394667003320482,-0.3306207813446892,-0.4229980128093528,-0.3102954606233164,-0.255152516284884,-0.0037813214153072,10min,XGBoost
long_short,BNBUSDT,0.1434369924062342,0.2394610779486262,0.5989991928333633,0.7476167455630294,-0.36632897726824,0.3915524059162925,0.0114497816721351,10min,XGBoost
long_only,BNBUSDT,0.0420108415441249,0.1630842141751992,0.2576021336988094,0.1466967904625603,-0.2231795512202238,0.1882378619117773,0.0123877465175495,10min,XGBoost
trend_following,BNBUSDT,-0.0017950168187158,0.0400915396444593,-0.0447729579515893,-0.0088384654791995,-0.0615815266004258,-0.0291486248849089,-0.0024778105858824,10min,XGBoost
buy_and_hold,ETHUSDT,-0.275460564081452,0.3405435199918283,-0.8088850555372834,-1.025971703044509,-0.6259023023993527,-0.4401015350566585,-0.0134006393606695,10min,XGBoost
long_short,ETHUSDT,0.0749813674538757,0.3405523744933554,0.2201757294026405,0.2804964218622494,-0.2954466270029356,0.2537898916447291,0.0064802485017338,10min,XGBoost
long_only,ETHUSDT,-0.0679025884916929,0.0820471289223913,-0.8276046874951859,-0.2150720051422018,-0.2128776055072812,-0.3189747852052499,-0.0632145758718198,10min,XGBoost
trend_following,ETHUSDT,-0.0053249069750807,0.0195606117738064,-0.2722259935760936,-0.024427069904719,-0.0219575160888058,-0.2425095331158791,-0.067568280049797,10min,XGBoost
buy_and_hold,SOLUSDT,-0.1277887693656292,0.441404509923232,-0.2895049019500366,-0.404788199376151,-0.6698281592783449,-0.1907784371193134,-0.0014636986090267,10min,XGBoost
long_short,SOLUSDT,-0.0162198723956356,0.4414038584246323,-0.0367461046976893,-0.0466843661092989,-0.4209662481914342,-0.0385301017963312,0.0030293915836362,10min,XGBoost
long_only,SOLUSDT,0.0107484735275031,0.1429140063475632,0.075209378018297,0.0203501284398006,-0.1199727965975858,0.089590922545182,0.0130166131860952,10min,XGBoost
trend_following,SOLUSDT,-0.013611775352314,0.035236864233799,-0.3862936060938619,-0.0161799918838763,-0.0607375657333778,-0.2241080159857941,-0.1655406510050672,10min,XGBoost
buy_and_hold,XRPUSDT,0.01795453962252269,0.46913586889987086,0.038271513249725074,0.05240280712027665,-0.5104412450324032,0.035174547114394966,0.004625138380559057,10min,XGBoost
long_short,XRPUSDT,0.3097657375232783,0.46912025429770604,0.6603120088835461,0.8049306185055746,-0.35853321947759487,0.8639805761224195,0.013865515269403661,10min,XGBoost
long_only,XRPUSDT,0.2647843708705837,0.19491125591629752,1.3584868130155214,0.39212623410439423,-0.19659721608372327,1.3468368278308789,0.10149303076680666,10min,XGBoost
trend_following,XRPUSDT,0.0702498930820128,0.03176512852140179,2.2115412829097116,0.1958734574163142,-0.012977784731028058,5.413088176293692,0.5699493109339206,10min,XGBoost
